fdc_id,description,protein_g,fat_g,carbs_g,calories_kcal,fiber_g,sodium_mg,saturated_fat_g
170398,"Cauliflower, frozen, unprepared",2.01,0.27,4.68,24.0,2.3,24.0,0.041
169390,"Cauliflower, green, cooked, no salt added",3.04,0.31,6.28,32.0,3.3,23.0,0.043
169391,"Cauliflower, green, cooked, with salt",3.04,0.31,6.28,32.0,3.3,259.0,0.049
169389,"Cauliflower, green, raw",2.95,0.3,6.09,31.0,3.2,23.0,0.047
169986,"Cauliflower, raw",1.92,0.28,4.97,25.0,2.0,30.0,0.13
169341,"Celeriac, cooked, boiled, drained, with salt",0.96,0.19,5.9,27.0,,297.0,
169987,"Celeriac, cooked, boiled, drained, without salt",0.96,0.19,5.9,27.0,1.2,61.0,
170400,"Celeriac, raw",1.5,0.3,9.2,42.0,1.8,100.0,0.079
169342,"Celery, cooked, boiled, drained, with salt",0.83,0.16,4.0,18.0,1.6,327.0,0.04
169989,"Celery, cooked, boiled, drained, without salt",0.83,0.16,4.0,18.0,1.6,91.0,0.04
169988,"Celery, raw",0.69,0.17,2.97,14.0,1.6,80.0,0.042
169990,"Celtuce, raw",0.85,0.3,3.65,18.0,1.7,11.0,
169075,"Cereals ready-to-eat, ALPEN",11.2,3.3,75.7,352.0,9.1,27.0,0.496
173018,"Cereals ready-to-eat, BARBARA'S PUFFINS, original",7.41,3.7,84.0,333.0,18.5,704.0,0.0
169076,"Cereals ready-to-eat, FAMILIA",9.5,6.3,73.8,388.0,8.5,8.0,0.711
173884,"Cereals ready-to-eat, GENERAL MILLS, CHEERIOS",12.4,6.6,73.2,372.0,10.1,497.0,1.6
172981,"Cereals ready-to-eat, HEALTH VALLEY, FIBER 7 Flakes",14.44,1.41,78.15,353.0,14.1,200.0,0.261
174645,"Cereals ready-to-eat, MALT-O-MEAL, Apple ZINGS",4.51,2.71,87.3,390.0,2.3,454.0,0.73
172982,"Cereals ready-to-eat, MALT-O-MEAL, BERRY COLOSSAL CRUNCH",4.19,4.17,86.55,396.0,1.8,633.0,1.214
172997,"Cereals ready-to-eat, MALT-O-MEAL, Blueberry MUFFIN TOPS Cereal",4.9,11.48,79.91,443.0,4.7,462.0,1.66
174664,"Cereals ready-to-eat, MALT-O-MEAL, CHOCOLATE MARSHMALLOW MATEYS",3.5,3.67,88.18,392.0,2.5,368.0,1.6
174646,"Cereals ready-to-eat, MALT-O-MEAL, CINNAMON TOASTERS",3.32,12.06,78.33,425.0,5.0,473.0,1.85
174619,"Cereals ready-to-eat, MALT-O-MEAL, COCO-ROOS",3.41,4.61,86.75,389.0,3.3,350.0,2.57
174631,"Cereals ready-to-eat, MALT-O-MEAL, COLOSSAL CRUNCH",3.64,5.28,81.59,401.0,1.7,806.0,2.24
173895,"Cereals ready-to-eat, MALT-O-MEAL, CORN BURSTS",3.32,0.35,90.59,385.0,1.9,855.0,0.093
174647,"Cereals ready-to-eat, MALT-O-MEAL, Cocoa DYNO-BITES",4.15,3.43,87.93,397.0,1.1,534.0,2.58
172983,"Cereals ready-to-eat, MALT-O-MEAL, Crispy Rice",6.07,1.12,86.4,346.0,0.4,924.0,0.0
172990,"Cereals ready-to-eat, MALT-O-MEAL, Frosted Flakes",4.25,0.87,90.2,389.0,1.2,451.0,0.107
